nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm,preu_cost_before
Sabich (amanida i pa pita),informal,tebi,alta,mitjana,primer,vegetal_proteic,Israel,8.36,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tomàquet', 'cogombre', 'ceba', 'julivert', 'llimona', 'oli', 'sal', 'albergínia', 'ou dur', 'pa pita', 'hummus', 'tahina', 'salsa amba']","['tomàquet', 'cogombre', 'ceba', 'julivert', 'llimona', 'oli', 'sal', 'albergínia', 'ou dur', 'pa pita', 'hummus', 'tahina', 'salsa amba']",6.5
Salmó al grill amb salsa de mango,informal,tebi,alta,gran,segon,peix,Carib,20.62,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'oli', 'mango', 'llimona', 'chili', 'menta', 'mel']","['salmó', 'oli', 'mango', 'llimona', 'chili', 'menta', 'mel']",11.0
Salmó al grill amb salsa de mantega i llimona,formal,calent,alta,gran,segon,peix,Internacional,21.91,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'oli', 'mantega', 'llimona', 'sal', 'pebre']","['salmó', 'oli', 'mantega', 'llimona', 'sal', 'pebre']",12.0
Salmó al grill estil asiàtic,informal,tebi,alta,mitjana,segon,peix,Àsia Oriental,19.04,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'soja', 'oli', 'espècies', 'gingebre', 'all', 'sucre', 'cilantre']","['salmó', 'soja', 'oli', 'espècies', 'gingebre', 'all', 'sucre', 'cilantre']",9.0
Salmó al grill sobre tauló,formal,calent,alta,gran,segon,peix,Canadà,24.66,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salsa worcestershire', 'cerveza', 'all', 'pebre', 'salmó']","['salsa worcestershire', 'cerveza', 'all', 'pebre', 'salmó']",11.0
Salmó a la planxa amb auró i rom,informal,tebi,mitjana,mitjana,segon,peix,Carib,11.04,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'sal', 'pebre', 'oli', 'rom', 'fusta']","['salmó', 'sal', 'pebre', 'oli', 'rom', 'fusta']",6.0
Salmó al vapor,formal,calent,baixa,mitjana,segon,peix,Internacional,11.15,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'aigua', 'sal']","['salmó', 'aigua', 'sal']",6.0
Salmó amb arròs i salsa,formal,tebi,alta,mitjana,segon,peix,Mediterrània,18.87,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'arròs', 'aigua', 'nata agra', 'salsa picant', 'pastanaga', 'pèsols']","['salmó', 'arròs', 'aigua', 'nata agra', 'salsa picant', 'pastanaga', 'pèsols']",8.5
Salmó amb crosta d'aglà,formal,tebi,alta,petita,segon,peix,Internacional,32.58,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salmó', ""clares d'ou""]","['salmó', ""clares d'ou""]",14.0
Salmó amb mel i mostassa,formal,tebi,mitjana,gran,segon,peix,Escandinàvia,13.81,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'mel', 'mostassa']","['salmó', 'mel', 'mostassa']",7.0
Salmó amb mel i pebre,formal,tebi,mitjana,mitjana,segon,peix,Internacional,13.29,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'mel', 'mostassa', 'all', 'pebre', 'suc de llima', 'salmó']","['oli', 'mel', 'mostassa', 'all', 'pebre', 'suc de llima', 'salmó']",6.5
Salmó cruixent,formal,tebi,alta,mitjana,segon,peix,Internacional,15.43,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'pa ratllat', 'oli', 'farina', 'sal', 'pebre', 'llimona']","['salmó', 'pa ratllat', 'oli', 'farina', 'sal', 'pebre', 'llimona']",6.5
Salmó escaldat amb nabius silvestres,formal,tebi,mitjana,mitjana,segon,peix,Canadà,17.2,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'brou de peix', 'aigua', 'timó', 'julivert', 'pebre', 'nabius', 'llimona']","['salmó', 'brou de peix', 'aigua', 'timó', 'julivert', 'pebre', 'nabius', 'llimona']",10.0
Salmó fumat manxec,formal,tebi,alta,mitjana,segon,peix,Espanya,10.45,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['peix fumat', 'nata', 'cebollí', 'cogombre', 'tomàquet']","['peix fumat', 'nata', 'cebollí', 'cogombre', 'tomàquet']",6.0
Salmó plaquer amb melassa d'auró,formal,tebi,alta,mitjana,segon,peix,Canadà,14.59,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'llimona', 'melassa', 'oli', 'chili', 'herbes']","['salmó', 'llimona', 'melassa', 'oli', 'chili', 'herbes']",6.5
Salmó sellat amb glacé de jalapeño,informal,tebi,mitjana,mitjana,segon,peix,Estats Units,14.11,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pebre', 'brou', 'salmó', 'sal', 'oli']","['pebre', 'brou', 'salmó', 'sal', 'oli']",7.0
Salmó teriyaki,formal,tebi,alta,mitjana,segon,peix,Japó,12.92,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'soja', 'gingebre', 'all', 'vinagre', 'canyella', 'xili', 'sèsam']","['salmó', 'soja', 'gingebre', 'all', 'vinagre', 'canyella', 'xili', 'sèsam']",6.0
Salsitxa vegana amb pebre vermell,informal,calent,mitjana,mitjana,segon,vegetal_proteic,Internacional,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gluten', 'aigua', 'soja', 'oli', 'ceba', 'pebrot', 'paprika', 'xili', 'tofu']","['gluten', 'aigua', 'soja', 'oli', 'ceba', 'pebrot', 'paprika', 'xili', 'tofu']",5.0
Salsitxa vegetal de seitan,informal,tebi,alta,gran,segon,vegetal_proteic,Internacional,7.81,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'salsa de soja', 'gluten', 'espècies', 'tofu', 'oli']","['aigua', 'salsa de soja', 'gluten', 'espècies', 'tofu', 'oli']",6.0
Saltat de mongetes negres,formal,tebi,alta,mitjana,segon,vegetal_proteic,Xina,10.72,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['all', 'gingebre', 'chili', 'ceba tendra', 'salsa soja', 'sucre', 'midó', 'arròs', 'verdures']","['all', 'gingebre', 'chili', 'ceba tendra', 'salsa soja', 'sucre', 'midó', 'arròs', 'verdures']",6.0
Saltat de porc i mongetes de Lima,informal,tebi,mitjana,gran,segon,carn,Estats Units,13.05,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes de Lima', 'porc', 'cub de brou', 'farina', 'farigola', 'aigua']","['mongetes de Lima', 'porc', 'cub de brou', 'farina', 'farigola', 'aigua']",8.0
Saltat de vedella,informal,tebi,alta,mitjana,segon,carn,Xina,14.62,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'soja', 'chili', 'all', 'ceba', 'oli', 'pastanaga', 'ceba tendra', 'mel', 'vinagre', 'sèsam']","['vedella', 'sal', 'pebre', 'soja', 'chili', 'all', 'ceba', 'oli', 'pastanaga', 'ceba tendra', 'mel', 'vinagre', 'sèsam']",7.0
Saltejat de marisc amb fideus,informal,calent,mitjana,mitjana,segon,marisc,Àsia Oriental,10.81,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fideus', 'oli', 'all', 'boles de peix', 'gambes', 'col', 'ceba tendra', 'germans de soja', 'soia', 'sal', 'sucre', 'pebre', 'ceba fregida']","['fideus', 'oli', 'all', 'boles de peix', 'gambes', 'col', 'ceba tendra', 'germans de soja', 'soia', 'sal', 'sucre', 'pebre', 'ceba fregida']",6.0
Saltejat de pollastre amb cacauet,informal,tebi,mitjana,mitjana,segon,aus,Xina,10.75,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'api', 'ceba', 'pollastre', 'xampinyons', 'midó', 'salsa de soja', 'brou', 'cacauets', 'arròs']","['mantega', 'api', 'ceba', 'pollastre', 'xampinyons', 'midó', 'salsa de soja', 'brou', 'cacauets', 'arròs']",7.0
Saltejat de tofu,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Àsia Oriental,6.5,['totes'],"['hivern', 'tardor']","['tofu', 'poma', 'salsa de soja', 'oli', 'espècies']","['tofu', 'poma', 'salsa de soja', 'oli', 'espècies']",5.0
Saltejat de vedella amb pebre,informal,tebi,mitjana,mitjana,segon,carn,Xina,12.92,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'soia', 'oli de cacauet', 'pebrot', 'gingebre', 'all']","['vedella', 'sal', 'pebre', 'soia', 'oli de cacauet', 'pebrot', 'gingebre', 'all']",6.0
Saltejat de verdures zambià,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Zàmbia,6.61,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'all', 'pastanaga', 'pebrot', 'xili', 'col', 'chibwabwa', 'masau', 'sal', 'pebre', 'soia', 'sèsam']","['oli', 'ceba', 'all', 'pastanaga', 'pebrot', 'xili', 'col', 'chibwabwa', 'masau', 'sal', 'pebre', 'soia', 'sèsam']",5.0
Saltejats de galta de lluç,informal,tebi,alta,mitjana,segon,peix,Mediterrània,11.68,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli de cacauet', 'galt de lluç', 'pastanaga', 'api', 'gingebre', 'all', 'ceba tendra', 'soja', 'brou', 'pebre']","['oli de cacauet', 'galt de lluç', 'pastanaga', 'api', 'gingebre', 'all', 'ceba tendra', 'soja', 'brou', 'pebre']",6.0
Saltejats de rossinyols etiops,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Etiòpia,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'all', 'gingebre', 'berbere', 'paprika', 'comí', 'cúrcuma', 'pebre', 'mushrooms', 'soja', 'llimona', 'cilantre']","['oli', 'ceba', 'all', 'gingebre', 'berbere', 'paprika', 'comí', 'cúrcuma', 'pebre', 'mushrooms', 'soja', 'llimona', 'cilantre']",5.0
Sandvitx calent de vedella,informal,fred,baixa,mitjana,segon,carn,Estats Units,8.81,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'pa', 'mantega', 'formatge']","['vedella', 'pa', 'mantega', 'formatge']",5.0
Sandvitx d'all tomàquet i cheddar,informal,tebi,baixa,mitjana,segon,farinaci_principal,Estats Units,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pa', 'all', 'pebre verd', 'tomàquet', 'formatge cheddar', 'oli', 'llimona', 'sal', 'pebre']","['pa', 'all', 'pebre verd', 'tomàquet', 'formatge cheddar', 'oli', 'llimona', 'sal', 'pebre']",4.5
Sandvitxos de bistec,informal,calent,mitjana,mitjana,segon,carn,Estats Units,10.18,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'formatge', 'bacon', 'pa']","['vedella', 'formatge', 'bacon', 'pa']",5.5
Sandvitxos de vedella fumat de Texas,informal,fred,alta,mitjana,segon,carn,Estats Units,14.13,['totes'],"['hivern', 'tardor']","['vedella', 'sal', 'pebre', 'vinagre de poma', 'mostassa', 'cayena', 'all', 'paprika', 'salsa', 'pa', 'melassa']","['vedella', 'sal', 'pebre', 'vinagre de poma', 'mostassa', 'cayena', 'all', 'paprika', 'salsa', 'pa', 'melassa']",6.0
Steak al grill,informal,calent,mitjana,mitjana,segon,forn_brasa,Internacional,12.15,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'sal', 'all', 'herbes']","['carn', 'sal', 'all', 'herbes']",9.0
Steak fregit amb pollastre estil Texas,informal,tebi,alta,mitjana,segon,carn,Estats Units,13.97,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'paprika', 'cayena', 'greix', 'brou', 'llet', 'ou', 'farina']","['vedella', 'sal', 'pebre', 'paprika', 'cayena', 'greix', 'brou', 'llet', 'ou', 'farina']",6.0
Steak tàrtar,formal,tebi,alta,mitjana,segon,carn,França,17.74,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', ""rovell d'ou"", 'worcestershire', 'mostassa', 'pebre', 'ceba', 'pa']","['vedella', ""rovell d'ou"", 'worcestershire', 'mostassa', 'pebre', 'ceba', 'pa']",7.0
Stroganoff de vedella tradicional,formal,tebi,alta,mitjana,segon,guisat,Rússia,14.02,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'sal', 'pebre', 'mantega', 'ceba tendra', 'farina', 'brou de vedella', 'mostassa', 'xampinyó', 'nata agra', 'vi blanc']","['vedella', 'sal', 'pebre', 'mantega', 'ceba tendra', 'farina', 'brou de vedella', 'mostassa', 'xampinyó', 'nata agra', 'vi blanc']",6.0
Sukiyaki japonès,formal,tebi,alta,mitjana,segon,guisat,Japó,16.26,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'col napa', 'ceba tendra', 'tofu', 'bolets', 'espinacs', 'fideus', 'soia', 'sake', 'sucre', 'aigua']","['vedella', 'col napa', 'ceba tendra', 'tofu', 'bolets', 'espinacs', 'fideus', 'soia', 'sake', 'sucre', 'aigua']",6.5
Tacos de bistec,informal,fred,mitjana,mitjana,segon,carn,Mèxic,10.47,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'vedella', 'cilantro', 'ceba', 'llimona', 'salsa', 'tortilla']","['oli', 'vedella', 'cilantro', 'ceba', 'llimona', 'salsa', 'tortilla']",5.5
Tacos vegetarians tous,informal,fred,mitjana,mitjana,segon,vegetal_proteic,Mèxic,6.5,['totes'],['estiu'],"['xili', 'paprika', 'ceba', 'sal', 'all', 'xili vermell', 'carn vegetal', 'aigua', 'tortilla', 'mongetes', 'tomàquet', 'enciam', 'formatge', 'nata']","['xili', 'paprika', 'ceba', 'sal', 'all', 'xili vermell', 'carn vegetal', 'aigua', 'tortilla', 'mongetes', 'tomàquet', 'enciam', 'formatge', 'nata']",5.0
Tajin de pollastre amb llimona i olives,formal,tebi,mitjana,mitjana,segon,aus,Marroc,11.22,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'pollastre', 'farina', 'sal', 'pebre', 'cayenna', 'cúrcuma', ""oli d'oliva"", 'ceba', 'gingebre', 'all', 'brou de pollastre', 'olives verdes', 'canel·la', 'cilantre']","['llimona', 'pollastre', 'farina', 'sal', 'pebre', 'cayenna', 'cúrcuma', ""oli d'oliva"", 'ceba', 'gingebre', 'all', 'brou de pollastre', 'olives verdes', 'canel·la', 'cilantre']",6.5
Talls de vedella etíops picants,formal,tebi,alta,mitjana,segon,carn,Etiòpia,14.6,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'ceba', 'all', 'gingebre', 'gisar clarificat', 'berbere', 'paprika', 'cayena', 'comí', 'coriandre', 'cardamom', 'sal', 'oli', 'julivert']","['vedella', 'ceba', 'all', 'gingebre', 'gisar clarificat', 'berbere', 'paprika', 'cayena', 'comí', 'coriandre', 'cardamom', 'sal', 'oli', 'julivert']",6.0
Tamales de porc de Nou Mèxic,informal,tebi,alta,mitjana,segon,carn,Estats Units,11.89,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'pollastre', 'xili', 'oli', 'farina de masa', 'espècies', 'greix', 'bouillon', 'sal', 'pebre']","['porc', 'pollastre', 'xili', 'oli', 'farina de masa', 'espècies', 'greix', 'bouillon', 'sal', 'pebre']",6.5
Tomàquets farcits de formatge,informal,fred,baixa,petita,segon,vegetal_proteic,Mediterrània,6.5,['totes'],['estiu'],"['formatge fresc', 'alfàbrega', 'all', 'mantega', 'sal', 'pebre', 'ricotta', 'tomàquets cherry']","['formatge fresc', 'alfàbrega', 'all', 'mantega', 'sal', 'pebre', 'ricotta', 'tomàquets cherry']",4.0
Tonkatsu japonès,formal,tebi,alta,mitjana,segon,carn,Japó,13.61,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['soja', 'sucre', 'worcestershire', 'ketchup', 'porc', 'sal', 'pebre', 'ou', 'farina', 'pa ratllat', 'oli']","['soja', 'sucre', 'worcestershire', 'ketchup', 'porc', 'sal', 'pebre', 'ou', 'farina', 'pa ratllat', 'oli']",6.0
Tonyina al grill agredolça,informal,fred,mitjana,mitjana,segon,peix,Internacional,10.38,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'ketchup', 'vinagre', 'sucre morè', 'soia', 'oli']","['tonyina', 'ketchup', 'vinagre', 'sucre morè', 'soia', 'oli']",5.0
Tonyina mediterrània al grill,formal,tebi,mitjana,mitjana,segon,peix,Mediterrània,16.75,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tonyina', 'oli', 'vinagre', 'estragó', 'sal', 'pebre']","['tonyina', 'oli', 'vinagre', 'estragó', 'sal', 'pebre']",8.0
Tortellini amb salsa de moniato,informal,tebi,mitjana,mitjana,segon,farinaci_principal,Itàlia,9.18,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['moniato', 'tortellini', 'mantega', 'all', 'llet']","['moniato', 'tortellini', 'mantega', 'all', 'llet']",5.5
Trinxat de carn al forn,informal,tebi,alta,gran,segon,carn,Estats Units,15.75,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'pa ratllat', 'sal', 'pebre', 'ketchup', 'worcestershire', 'paprika', 'herbes', 'ou', 'bacon', 'ceba', 'pastanaga', 'pebrot', 'brou', 'nata', 'patata', 'mantega']","['carn', 'pa ratllat', 'sal', 'pebre', 'ketchup', 'worcestershire', 'paprika', 'herbes', 'ou', 'bacon', 'ceba', 'pastanaga', 'pebrot', 'brou', 'nata', 'patata', 'mantega']",7.5
Truita a la brasa de camp,informal,tebi,mitjana,mitjana,segon,peix,Internacional,8.83,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['truita', 'bacó', 'mantega', 'llimona', 'sal', 'pebre']","['truita', 'bacó', 'mantega', 'llimona', 'sal', 'pebre']",6.0
Truita de cigrons,informal,calent,mitjana,petita,segon,vegetal_proteic,Mediterrània,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de cigró', 'llevat químic', 'sal', 'cúrcuma', 'paprika', 'llet vegetal', 'oli']","['farina de cigró', 'llevat químic', 'sal', 'cúrcuma', 'paprika', 'llet vegetal', 'oli']",4.0
Truita de formatge,informal,fred,mitjana,petita,segon,aus,Internacional,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'pebre', 'formatge jack', 'mozzarella', 'cheddar', 'pepper jack', 'mantega']","['ou', 'pebre', 'formatge jack', 'mozzarella', 'cheddar', 'pepper jack', 'mantega']",4.0
Truita de formatge i bacó,informal,calent,mitjana,mitjana,segon,aus,Estats Units,11.65,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'formatge', 'bacó']","['ou', 'formatge', 'bacó']",6.5
Truita de patata,informal,tebi,mitjana,mitjana,segon,aus,Espanya,10.36,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'sucre', 'sal', 'pebre', 'llet', 'patata', 'ceba', 'formatge']","['ou', 'sucre', 'sal', 'pebre', 'llet', 'patata', 'ceba', 'formatge']",6.0
Truita d'espàrrecs,formal,tebi,mitjana,mitjana,segon,aus,Mediterrània,13.23,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['espàrrecs', 'oli', 'all', 'ou', 'llet', 'formatge', 'herbes']","['espàrrecs', 'oli', 'all', 'ou', 'llet', 'formatge', 'herbes']",7.0
Truita espanyola,informal,tebi,mitjana,mitjana,segon,aus,Espanya,6.75,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['all', 'oli', 'patata', 'ceba', 'ou']","['all', 'oli', 'patata', 'ceba', 'ou']",5.0
Truita espanyola de patates,formal,tebi,alta,mitjana,segon,aus,Espanya,11.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'ou', 'oli', 'sal', 'pebre']","['patata', 'ou', 'oli', 'sal', 'pebre']",5.5
Vedella amb bolets,informal,calent,mitjana,mitjana,segon,carn,Mediterrània,13.42,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bolets', 'mantega', 'vedella', 'sal', 'pebre', 'oli', 'all', 'ceba']","['bolets', 'mantega', 'vedella', 'sal', 'pebre', 'oli', 'all', 'ceba']",6.0
Vedella amb pebres,informal,calent,mitjana,mitjana,segon,carn,Itàlia,12.14,['totes'],['estiu'],"['ceba', 'pebrot', 'oli', 'vedella', 'tomàquet', 'capers', 'alfàbrega', 'sal', 'pebre']","['ceba', 'pebrot', 'oli', 'vedella', 'tomàquet', 'capers', 'alfàbrega', 'sal', 'pebre']",5.5
Vedella amb salsa de tonyina (Vitello Tonnato),formal,tebi,mitjana,mitjana,segon,carn,Itàlia,14.06,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'maionesa', 'tonyina', 'llimona', 'sal', 'pebre']","['vedella', 'maionesa', 'tonyina', 'llimona', 'sal', 'pebre']",6.5
Vedella amb salsa sobre torrada,informal,calent,mitjana,mitjana,segon,carn,Regne Unit,10.75,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['greix', 'farina', 'llet evaporada', 'brou de vedella', 'vedella', 'julivert', 'pebre']","['greix', 'farina', 'llet evaporada', 'brou de vedella', 'vedella', 'julivert', 'pebre']",5.5
Vedella amb salsa suya,informal,tebi,baixa,petita,segon,carn,Nigèria,9.16,['totes'],['estiu'],"['pebrot', 'ceba', 'tomàquet', 'oli', 'espècies', 'sal', 'suya']","['pebrot', 'ceba', 'tomàquet', 'oli', 'espècies', 'sal', 'suya']",5.5
Vedella curada casolana,formal,tebi,baixa,gran,segon,carn,Europa Central,9.96,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'pastanaga', 'ceba', 'herbes', 'espècies', 'cerveza']","['carn', 'pastanaga', 'ceba', 'herbes', 'espècies', 'cerveza']",5.0
Vedella rostida,informal,tebi,alta,gran,segon,carn,Internacional,18.94,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'oli', 'aigua', 'ceba', 'vi', 'melmelada', 'salsa', 'patata', 'pastanaga', 'mongeta tendra', 'col', 'mostassa', 'rafano']","['vedella', 'oli', 'aigua', 'ceba', 'vi', 'melmelada', 'salsa', 'patata', 'pastanaga', 'mongeta tendra', 'col', 'mostassa', 'rafano']",9.0
Verat marinat,formal,fred,mitjana,mitjana,segon,peix,Escandinàvia,8.47,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['verat', 'llorer', 'all', 'ceba', 'pebre', 'sal', 'vinagre']","['verat', 'llorer', 'all', 'ceba', 'pebre', 'sal', 'vinagre']",5.0
Verdures de patata liberianes,informal,calent,alta,gran,segon,guisat,Liberia,10.35,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'carn', 'patata', 'sal', 'pebre', 'espècies']","['oli', 'ceba', 'carn', 'patata', 'sal', 'pebre', 'espècies']",6.5
Verdures saltejades,informal,calent,baixa,mitjana,segon,vegetal_proteic,Internacional,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'oli', 'all', 'verdura', 'soia']","['mantega', 'oli', 'all', 'verdura', 'soia']",4.0
Verdures saltejades amb ou escaldat,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Àsia,6.96,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'oli', 'all', 'bolets', 'pebrot', 'xili', 'col', 'cilantro', 'salsa picant', 'ou', 'vinagre']","['ceba', 'oli', 'all', 'bolets', 'pebrot', 'xili', 'col', 'cilantro', 'salsa picant', 'ou', 'vinagre']",5.5
Vieires a la paella amb salsa de xocolata i cayena,informal,tebi,alta,mitjana,segon,marisc,França,37.32,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vieires', 'sal', 'pebre', 'mantega', 'xocolata', 'pebre vermell', 'julivert']","['vieires', 'sal', 'pebre', 'mantega', 'xocolata', 'pebre vermell', 'julivert']",15.0
Vieires embolicades amb bacó,formal,calent,alta,petita,segon,marisc,Estats Units,19.2,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['bacó', 'ostres', 'oli', 'soja', 'sucre']","['bacó', 'ostres', 'oli', 'soja', 'sucre']",8.0
Wraps de pollastre amb mesquite,informal,calent,mitjana,mitjana,segon,aus,Estats Units,10.65,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'mesquite', 'sal', 'pebre', 'tortilla', 'oli', 'formatge']","['pollastre', 'mesquite', 'sal', 'pebre', 'tortilla', 'oli', 'formatge']",6.5
Xai al forn amb iogurt,formal,tebi,alta,gran,segon,carn,Mediterrània,18.16,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xai', 'mantega', 'arròs', 'sal', 'pebre', 'farina', 'iogurt', 'ou']","['xai', 'mantega', 'arròs', 'sal', 'pebre', 'farina', 'iogurt', 'ou']",9.0
Xai rostit al estil egipci,formal,tebi,alta,gran,segon,carn,Egipte,14.9,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['comí', 'coriandre', 'paprika', 'canel·la', 'sal', 'pebre', 'all', 'llimona', 'oli', 'xai']","['comí', 'coriandre', 'paprika', 'canel·la', 'sal', 'pebre', 'all', 'llimona', 'oli', 'xai']",8.0
Xampinyons portobello al grill,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Internacional,7.06,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xampinyó', 'oli', 'sal']","['xampinyó', 'oli', 'sal']",5.5
Xampinyons saltejats,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Internacional,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xampinyons', 'sal', 'pebre', 'all', 'ceba', 'oli']","['xampinyons', 'sal', 'pebre', 'all', 'ceba', 'oli']",4.0
Ànec a la taronja,formal,calent,alta,gran,segon,aus,França,14.96,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ànec', 'oli', 'sal', 'pebre', 'melmelada de taronja']","['ànec', 'oli', 'sal', 'pebre', 'melmelada de taronja']",7.0
Ànec confitat,formal,tebi,alta,gran,segon,aus,França,14.88,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ànec', 'sal', 'pebre', 'all', 'llorer', 'farigola', 'oli']","['ànec', 'sal', 'pebre', 'all', 'llorer', 'farigola', 'oli']",7.0
Ànec rostit cantonès,formal,tebi,alta,gran,segon,aus,Xina,16.91,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salsa de soja', 'espècies xineses', 'salsa hoisin', 'ànec', 'ceba tendra']","['salsa de soja', 'espècies xineses', 'salsa hoisin', 'ànec', 'ceba tendra']",9.0
Ànec rostit Long Island amb cítrics,formal,calent,alta,mitjana,segon,aus,Estats Units,17.92,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ànec', 'llimona', 'taronja', 'sal', 'pebre']","['ànec', 'llimona', 'taronja', 'sal', 'pebre']",11.0
