nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients
Peu de vaca picant nigerià (Nkwobi),gran,alta,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peus de vaca', 'sal', 'cub de brou', 'ceba', 'ugba', 'potassa', 'oli de palma', 'cranc sec', 'xili', 'all', 'gingebre', 'fulles', 'ceba']"
Cocoyam picat nigerià (Nni Ede),mitjana,mitjana,tebi,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cocoyam', 'farina de mandioca', 'aigua']"
Pastís de formatge sense forn,mitjana,mitjana,fred,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'galetes triturades', 'formatge cremós', 'llet condensada', 'suc de llimona']"
Pastís de xocolata sense forn,mitjana,mitjana,fred,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'margarina', 'sucre', 'vainilla', 'cacau', 'galetes', 'cafè', 'granets de xocolata']"
Pastís de xocolata sense forn,mitjana,mitjana,fred,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cacau', 'sucre', 'mantega', 'llet', 'cafè', 'grans de xocolata']"
Pastís galeta amb xips de xocolata sense forn,mitjana,mitjana,fred,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['galetes amb xips de xocolata', 'llet', 'base de galeta', 'nata muntada']"
Galetes d’avena i xocolata sense forn,mitjana,mitjana,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cacau', 'llet', 'civada', 'sucre', 'mantega', 'vainilla', 'cacauet']"
Pastís de xocolata sense forn,gran,alta,fred,postres,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'margarina', 'sucre', 'vainilla', 'cacau', 'galetes', 'cafè', 'granets de xocolata']"
Pastís de xocolata sense forn,gran,alta,fred,postres,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cacau', 'sucre', 'mantega', 'llet', 'cafè', 'grans de xocolata']"
Pastís Matsa sense forn,petita,baixa,fred,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sucre', 'cacau', 'panses', 'vi dolç', 'mantega', 'galetes']"
Fideus per a sopa,petita,baixa,tebi,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'farina']"
Pollastre barbacoa Carolina del Nord,gran,alta,tebi,segon,informal,7.0,['totes'],"['hivern', 'tardor']","['pollastre', 'espècies barbacoa', 'vinagre', 'mel', 'salsa worcestershire', 'fusta fumada']"
Costelles barbacoa Carolina del Nord,gran,alta,tebi,segon,informal,7.0,['totes'],"['hivern', 'tardor']","['costelles de porc', 'espècies', 'vinagre', 'mel', 'salsa worcestershire']"
Ous Benedict gairebé,gran,alta,tebi,primer,formal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'llet', 'julivert', 'sal', 'pebre', 'bacó', 'mantega', 'aigua', 'llimona', 'cayena', 'pa', 'xarop d’auró']"
Sopa Nsala nigeriana,mitjana,alta,fred,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles', 'pebre', 'cranc sec', 'ogili', 'ceba', 'carn', 'peix sec', 'peix fresc', 'sal', 'cub de brou']"
Massa de farina de blat de moro (Nsima),mitjana,mitjana,tebi,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de blat de moro', 'aigua']"
Sopa Nune nigeriana,mitjana,baixa,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pebre', 'peix', 'iru', 'sal']"
Galeta de gingebre de Nuremberg,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mel', 'sucre', 'farina', 'clau', 'nou moscada', 'cardamom', 'canyella', 'pell de llimona', 'avellanes', 'essència de llimona', 'essència de taronja', 'oblea de pa de pessic']"
Rostit de fruits secs (Nut Roast),gran,alta,tebi,segon,formal,6.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'margarina', 'fruits secs', 'pa ratllat', 'llimona', 'farigola', 'espècies', 'ou', 'sal', 'pebre', 'julivert', 'massa de full']"
Rotlle de fruits secs,gran,alta,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llevat', 'llet', 'sucre', 'greix', 'sal', 'ou', 'farina', 'farcit de fruits secs']"
Creps de Nutella,gran,alta,fred,postres,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'ou', 'sucre', 'llet', 'aigua', 'vainilla', 'mantega', 'nutella', 'nata', 'plàtan', 'avellanes', 'sucre llustre']"
Barres de brownie amb nous,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['barreja de brownie', 'oli', 'llet condensada', 'ametlles', 'nous', 'xocolatina']"
Barres de galeta Nutty Buddy,gran,alta,tebi,postres,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'galetes triturades', 'llet condensada', 'xips de xocolata', 'nous', 'ametlles']"
Barbacoa tanzana (Nyama Choma),gran,alta,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'oli', 'ceba', 'gingebre', 'all', 'papaya', 'soja', 'suc de llimona', 'pebre', 'julivert', 'paprika', 'cúrcuma', 'curry', 'sal']"
Cereal de segó d’avena,petita,baixa,tebi,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['segó d’avena', 'aigua', 'sal']"
Farinetes d’avena,mitjana,mitjana,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['avena', 'aigua', 'llet']"
Arròs de civada,gran,baixa,tebi,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'llet d’avena']"
Galetes de civada,mitjana,mitjana,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'avena', 'sucre', 'melassa', 'mantega']"
Gofres de civada i plàtan,mitjana,mitjana,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['avena', 'aigua', 'plàtan', 'llet en pols', 'oli', 'sal']"
Galetes de civada amb xocolata I,petita,baixa,calent,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'greix', 'sucre morè', 'llet', 'vainilla', 'sal', 'farina', 'llevat químic', 'canyella', 'avena', 'xips de xocolata', 'nous']"
Galetes de civada amb xocolata II,petita,mitjana,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'sucre morè', 'sucre blanc', 'aigua', 'ou', 'vainilla', 'farina', 'bicarbonat', 'xips de xocolata', 'avena']"
Galetes de civada amb xocolata III,petita,mitjana,calent,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'sucre blanc', 'sucre morè', 'ou', 'vainilla', 'sal', 'bicarbonat', 'farina', 'avena', 'xips de xocolata']"
Galetes de civada I,petita,mitjana,calent,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['greix', 'sucre morè', 'sucre blanc', 'ou', 'aigua', 'vainilla', 'avena', 'farina', 'bicarbonat', 'sal', 'panses']"
Galetes de civada II,petita,mitjana,calent,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'sucre morè', 'aigua', 'vainilla', 'avena', 'farina', 'sal', 'bicarbonat']"
Magdalenes de civada,petita,baixa,calent,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['avena', 'buttermilk', 'ou', 'margarina', 'farina', 'llevat químic', 'bicarbonat', 'sal', 'sucre morè', 'coco']"
Galetes de civada i panses,mitjana,mitjana,tebi,postres,informal,4.5,['totes'],"['hivern', 'tardor']","['greix', 'sucre morè', 'ou', 'aigua', 'vainilla', 'avena', 'farina', 'bicarbonat', 'sal', 'canyella', 'panses', 'nous']"
Brownies de civada i cervesa stout,gran,mitjana,tebi,postres,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'cacau', 'sal', 'mantega', 'xocolata’, 'xips de xocolata blanca', 'ou', 'sucre', 'cervesa stout', 'xips de xocolata', 'formatge fresc', 'vainilla']"
Estofat nigerià de peix fumat (Obe Eja Kika),mitjana,mitjana,tebi,segon,informal,6.5,['totes'],['estiu'],"['tomàquet', 'pebrot', 'ceba', 'oli de palma', 'oli', 'peix fumat', 'espècies', 'sal', 'brou', 'fulles']"
Sopa de hibisc nigeriana (Obe Ishapa),mitjana,mitjana,calent,primer,informal,5.5,['totes'],['estiu'],"['carn', 'bouillon', 'fulles de hibisc', 'potassa', 'llavors', 'pebrot', 'ceba', 'tomàquet', 'oli de palma', 'llavors fermentades', 'peix sec', 'sal']"
Pa tradicional d’Uganda (Obuwunga),gran,alta,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de mill', 'farina de blat de moro', 'sal', 'aigua']"
Arròs fregit Ofada,mitjana,alta,tebi,segon,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs Ofada', 'sal', 'ceba', 'oli de cacauet', 'pastanaga', 'pebrot', 'mongetes verdes', 'ceba tendra', 'gamba', 'espècies']"
Arròs Jollof Ofada,mitjana,mitjana,tebi,segon,informal,5.5,['totes'],['estiu'],"['arròs Ofada', 'tomàquet', 'pebrot', 'ceba', 'gingebre', 'oli de cacauet', 'farigola', 'musclo', 'espècies', 'sal']"
Arròs Ofada,mitjana,mitjana,fred,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs Ofada', 'aigua']"
Estofat Ofada,mitjana,mitjana,tebi,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'porc', 'bouillon', 'sal', 'curri', 'farigola', 'pebre', 'oli de palma', 'pebrot', 'peix sec', 'ou dur']"
Arròs vegetal Ofada,mitjana,mitjana,tebi,segon,informal,5.0,['totes'],['estiu'],"['arròs Ofada', 'ceba', 'pebrot', 'tomàquet', 'gingebre', 'oli de cacauet', 'mongetes verdes', 'pastanaga', 'ceba tendra', 'gamba', 'espècies']"
Sopa de llavors de mahogany (Ofe Akparata),mitjana,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ceba', 'sal', 'bouillon', 'kpomo', 'stockfish', 'llavors d’egusi', 'pols akparata', 'oli de palma', 'peix sec', 'pebrot', 'fulles']"
Sopa de fulles Awa (Ofe Awa),mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles d’awa', 'llavors de crayfish', 'fulles d’uziza', 'pebrot', 'ogiri', 'carn', 'peix sec', 'oli de palma', 'bouillon', 'llavors d’okónbo']"
Sopa de peix sec (Ofe Okporoko),mitjana,mitjana,tebi,primer,informal,5.5,['totes'],['estiu'],"['stockfish', 'sal', 'oli de palma', 'ceba', 'bouillon', 'tomàquet', 'pebrot', 'llavors d’uziza', 'fulles utazi']"
Sopa Ofe Owerri amb carn i taro,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],['tardor'],"['nyam', 'carn', 'porc', 'stockfish', 'cargols', 'bouillon', 'peix sec', 'llavors de crayfish', 'oli de palma', 'pebrot habanero', 'fulles okazì', 'fulles de carabassa', 'sal']"
Sopa de okra i ugba (Ofe Ugba),mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llavors de crayfish', 'pebrot', 'dawadawa', 'carn', 'stockfish', 'sal', 'bouillon', 'okra', 'ugba', 'fulles']"
Sopa de fulles Ugu (Ofe Ugu),gran,alta,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles d’ugu', 'aigua', 'oli de palma', 'pebre', 'ceba', 'bouillon', 'carn', 'llavors de crayfish', 'sal']"
Sopa Ujuju (Ofe Ujuju),mitjana,mitjana,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles ujuju', 'carn de cabra', 'sal', 'bouillon', 'pebre Cameron', 'ceba', 'stockfish', 'peix sec', 'llavors de crayfish', 'ogiri', 'oli de palma']"
Sopa Utazi (Ofe Utazi),mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles d’utazi', 'nyam', 'carn', 'stockfish', 'kpomo', 'sal', 'bouillon', 'peix sec', 'llavors de crayfish', 'pebrot', 'dawadawa', 'oli de palma']"
Sopa de ogbono,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'oli roja', 'llavors d’okìbó', 'llavors de crayfish', 'ponmo', 'stockfish', 'peix sec', 'pebrot', 'fulles ugwu', 'bouillon']"
Puré de nyam i plàtan (Ogolale),mitjana,baixa,calent,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['nyam', 'plàtan', 'sal', 'oli de palma']"
Sopa d’Oha,gran,alta,calent,primer,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'ceba', 'bouillon', 'stockfish', 'palm kernel', 'ede', 'pebrot', 'llavors de crayfish', 'kpomo', 'peix sec', 'fulles d’oha', 'fulles d’uziza']"
Fritures de nyam (Ojojo),gran,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['nyam', 'pebrot', 'ceba', 'bouillon', 'sal', 'oli de cacauet']"
Sopa d’Okazi,mitjana,mitjana,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'stockfish', 'peix sec', 'achi', 'oli de palma', 'ceba', 'bouillon', 'periwinkles', 'pebrot', 'llavors de crayfish', 'fulles okazì', 'fulles d’ağıla']"
Sopa d’Okoho,gran,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'pebrot', 'ceba', 'stockfish', 'peix sec', 'bouillon', 'oli de palma', 'okaaho stick']"
Okonomiyaki japonès,gran,alta,tebi,postres,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'aigua', 'ou', 'col', 'ceba tendra', 'mozzarella', 'okonomiyaki sauce', 'katsuobushi', 'nori']"
Púding de mongetes Bambara (Okpa),petita,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fulles o bosses', 'bouillon', 'sal', 'oli de palma', 'pebrot habanero', 'aigua']"
Moi-Moi de plàtan (Okpo Ogede),gran,alta,tebi,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['plàtan', 'farina de plàtan', 'ceba', 'llavors de crayfish', 'aigua', 'sal', 'oli de palma']"
Sopa verda d’okra,mitjana,mitjana,calent,primer,informal,5.5,['totes'],"['estiu', 'tardor']","['tomàquet', 'pebrot', 'oli de palma', 'ceba', 'bouillon', 'okra', 'fulles de carabassa', 'sal']"
Porridge d’okra i plàtan,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['plàtan', 'aigua', 'peix', 'bouillon', 'ceba', 'oli de palma', 'okra', 'fulles ugu', 'pebrot', 'sal']"
Olives farcides fregides (Ascolane),mitjana,alta,tebi,segon,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salsa', 'porc', 'pollastre', 'olives', 'formatge', 'pell de llimona', 'nutmeg', 'canyella', 'espècies', 'ou', 'farina', 'pa ratllat', 'oli']"
Pa d’oli d’oliva,gran,alta,calent,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'llevat', 'sucre', 'sal', 'oli', 'farina']"
Truita de pa ratllat,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'all', 'julivert', 'pa ratllat', 'sal', 'oli']"
Sopa de blat de moro (Omi Ukpoka),mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'peix fumat', 'gamba', 'bouillon', 'sal', 'nostre', 'blat de moro', 'uziza']"
Sopa de cacauet (Omisagwe),mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pebrot', 'mongetes', 'stockfish', 'uziza', 'carn', 'ceba', 'bouillon', 'llavors de crayfish', 'peix sec', 'oli de palma', 'fulles amagres', 'sal']"
Arros puré ghanès (Omu Tuo),mitjana,mitjana,tebi,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'mantega', 'aigua']"
Sopar d’Acció de Gràcies en una hora,gran,mitjana,tebi,ambdós,formal,7.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['tardor'],"['tall', 'tallades', 'esprai', 'pastís de carbassa', 'crancada']"
Onigiri japonès,petita,baixa,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'farcit', 'umeboshi', 'ton', 'salmó', 'ou', 'katsuobushi', 'nori']"
Pakores de ceba,gran,alta,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de cigró', 'oli', 'pebrot', 'gingebre', 'sal', 'chili', 'pebre', 'ceba']"
Anelles de ceba,gran,alta,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'llet', 'ou', 'sal', 'pa ratllat', 'julivert']"
Sopa de ceba,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'mantega', 'farina', 'brou de vedella', 'herbes', 'pa', 'gruyère', 'nutmeg', 'sal', 'pebre']"
Onunu amb salsa de peix,gran,alta,calent,segon,formal,6.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['nyam', 'plàtan', 'sal', 'oli de palma', 'peix', 'pebrot', 'bouillon', 'ceba', 'tomàquet', 'espècies', 'fulles de curri']"
Sopa Ora I,gran,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['nyam', 'llavors de crayfish', 'locust beans', 'pebrot', 'carn', 'ceba', 'bouillon', 'peix sec', 'oli de palma', 'fulles oha', 'fulles uziza']"
Sopa Ora II,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['nyam', 'fulles Ora', 'fulles uziza', 'shaki', 'stockfish', 'peix sec', 'bouillon', 'oli roja', 'ogiri', 'carn', 'peix', 'llavors de crayfish', 'pebrot']"
Pa de taronja,gran,alta,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pell de taronja', 'aigua', 'sucre', 'ou', 'mantega', 'llevat químic', 'farina', 'llet', 'sal']"
Brulée de taronja,gran,alta,tebi,postres,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['taronja', 'mantega', 'sucre morè', 'canyella', 'iogurt', 'menta']"
Pancakes de taronja i cardamom,mitjana,mitjana,fred,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'sucre', 'sal', 'llevat químic', 'pell de taronja', 'cardamom', 'buttermilk', 'llet', 'ou', 'mantega', 'vainilla', 'oli']"
Magdalenes de taronja i xocolata,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'mantega', 'sucre', 'xips de xocolata', 'ou', 'llet', 'suc de taronja', 'pell de taronja']"
Torrades franceses de taronja,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'suc de taronja', 'nata', 'sucre', 'vainilla', 'pell de taronja', 'pa', 'mantega']"
Refresc de taronja Julius,petita,baixa,fred,postres,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'aigua', 'sucre', 'vainilla', 'gel']"
Soda de taronja i llima,petita,baixa,fred,postres,informal,3.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['suc de taronja', 'gelat', 'soda']"
Smoothie de gelat de taronja,petita,baixa,fred,postres,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gelat', 'soda', 'suc de taronja', 'esència']"
Refresc de taronja,petita,baixa,fred,postres,informal,2.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'sucre', 'sirope de taronja', 'soda']"
Patates dolces glassejades de taronja,mitjana,mitjana,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata dolça', 'suc de taronja', 'sucre morè', 'germent de blat', 'margarina', 'pell de taronja', 'canyella', 'nou moscada']"
Batut de Oreo,petita,baixa,fred,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gelat', 'llet', 'galetes Oreo']"
Pastís de Oreo,petita,baixa,fred,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gelat', 'nata muntada', 'galetes Oreo']"
Chili texà original,gran,mitjana,tebi,segon,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'greix', 'chili', 'orenga', 'comí', 'sal', 'Tabasco', 'all', 'masa harina']"
Sopa d’okra nigeriana (Orunla),mitjana,mitjana,calent,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'ceba', 'bouillon', 'peix sec', 'pols d’okra', 'llavors de crayfish', 'ponmo', 'sal']"
Ossobuco a la milanesa,gran,alta,tebi,segon,formal,8.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'ceba', 'api', 'pastanaga', 'all', 'mantega', 'oli', 'vi blanc', 'brou de carn', 'tomàquet', 'anxova', 'herbes', 'pell de llimona', 'sal', 'pebre', 'farina']"
Sopa Osumade,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'pebre', 'bouillon', 'stockfish', 'crayfish', 'oli de palma', 'dryfish']"
Sopa Otong,gran,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['okra', 'pebrot', 'carn', 'ceba', 'bouillon', 'oli de palma', 'fulles uziza', 'ikong ubong', 'sal']"
Moi Moi de ñam (Ove),mitjana,mitjana,calent,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pebrot', 'nyam', 'peix', 'oli de cacauet', 'ceba', 'sal', 'fulles']"
Panqueques al forn,mitjana,mitjana,calent,postres,informal,5.0,['totes'],"['hivern', 'tardor']","['farina', 'llevat químic', 'bicarbonat', 'sal', 'sucre', 'llet', 'oli', 'vainilla', 'vinagre']"
Panqueques al forn vegans,mitjana,mitjana,calent,postres,informal,5.0,['totes'],"['hivern', 'tardor']","['farina', 'llevat químic', 'bicarbonat', 'sal', 'sucre', 'llet de soja', 'oli', 'vainilla', 'vinagre']"
Costelles al forn,gran,alta,fred,segon,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['costelles', 'rub', 'olors de fusta', 'salsa barbacoa']"
Pit de pollastre fregit al forn,mitjana,mitjana,tebi,segon,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ou', 'salsa worcestershire', 'llimona', 'mel', 'sal', 'paprika', 'all', 'pebre', 'crostonets', 'cornflakes', 'oli']"
Patates rostides al forn,petita,baixa,calent,segon,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'oli', 'farigola', 'sal', 'pebre']"
Patates rostides al forn,petita,baixa,calent,segon,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'oli', 'sal', 'aigua']"
Sopa Owo,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['tomàquet', 'pebrot', 'carn de cabra', 'ceba', 'brou', 'sal', 'peix sec', 'cranc sec', 'potassa', 'oli de palma']"
Ostres Kilpatrick,mitjana,mitjana,tebi,segon,formal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salsa de tomàquet', 'salsa worcestershire', 'ostres', 'bacó', 'llimona']"
Púding Ozark,mitjana,mitjana,tebi,postres,informal,5.5,['totes'],"['hivern', 'tardor']","['ou', 'farina', 'sucre', 'llevat químic', 'sal', 'vainilla', 'poma', 'nous']"
Pabellón crioll o veneçolà,mitjana,baixa,tebi,segon,informal,6.0,['totes'],['estiu'],"['oli', 'ceba', 'all', 'tomàquet', 'comí', 'sal', 'carn']"
Pollastre Thai al bàsil,gran,alta,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'pebrot', 'all', 'pollastre', 'mongeta', 'salsa de peix', 'salsa d’ostres', 'alfàbrega']"
Pad Thai,mitjana,alta,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fideus d’arròs', 'salsa de peix', 'vinagre', 'tamarinde', 'sucre', 'oli', 'all', 'pebrot', 'verdures', 'ou', 'ceba tendra', 'brots de soja', 'cacauets', 'coriandre']"
Salsa Pad Thai,mitjana,mitjana,fred,segon,informal,4.5,['totes'],"['hivern', 'tardor']","['all', 'oli', 'tamarinde', 'salsa de soja', 'salsa de peix', 'sucre', 'chili', 'midó']"
Paella de marisc,gran,alta,tebi,segon,formal,9.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['cranc', 'gambes', 'llorer', 'all', 'ceba', 'aigua', 'musclos', 'tomàquet', 'calamar', 'arròs', 'llagostins', 'oli', 'paprika', 'sal']"
Paella roja,gran,alta,tebi,segon,informal,8.5,['totes'],['estiu'],"['pollastre', 'ceba', 'pebrot', 'all', 'aigua', 'llorer', 'oli', 'tomàquet', 'paprika', 'mongetes', 'arròs', 'colorant', 'calamar', 'vieira', 'musclos']"
Paella valenciana,gran,alta,tebi,segon,informal,8.5,['totes'],['estiu'],"['pollastre', 'conill', 'sal', 'oli', 'pebrot', 'all', 'paprika', 'tomàquet', 'aigua', 'cargols', 'mongetes', 'arròs', 'safrà']"
Pa de llevat natural,gran,alta,tebi,postres,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'aigua', 'sal']"
Chai pakistanès,petita,baixa,tebi,postres,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'aigua', 'te', 'espècies']"
Bangus estofat en vinagre,gran,alta,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'pastanaga', 'meló amarg', 'all', 'xili', 'sal', 'pebre', 'vinagre', 'aigua']"
Creps austríacs (Palatschinken),mitjana,mitjana,fred,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'farina', 'ou', 'sal', 'rom', 'aigua mineral']"
