nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm
Pollastre amb crema agredolça,informal,tebi,alta,mitjana,segon,aus,Índia,8.94,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'cardamom', 'coriandre', 'canyella', 'comí', 'llorer', 'all', 'ceba', 'pollastre', 'panses', 'nata agra', 'ametlles', 'coco']","['oli', 'cardamom', 'coriandre', 'canyella', 'comí', 'llorer', 'all', 'ceba', 'pollastre', 'panses', 'nata agra', 'ametlles', 'coco']"
Pollastre amb crema i pebre vermell,informal,calent,baixa,petita,segon,aus,Hongria,7.61,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'paprika', 'nata', 'llimona']","['pollastre', 'paprika', 'nata', 'llimona']"
Pollastre amb llavors de rosella,informal,tebi,mitjana,mitjana,segon,aus,Estats Units,10.36,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['maionesa', 'nata agra', 'formatge', 'galetes', 'poppy', 'mantega']","['maionesa', 'nata agra', 'formatge', 'galetes', 'poppy', 'mantega']"
Pollastre amb llimona i all,formal,tebi,alta,mitjana,segon,aus,Mediterrània,11.64,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llimona', 'all', 'sal', 'pebre', 'alfàbrega', 'oli', 'pollastre', 'patata']","['llimona', 'all', 'sal', 'pebre', 'alfàbrega', 'oli', 'pollastre', 'patata']"
Pollastre amb mantega especiat,informal,tebi,mitjana,mitjana,segon,aus,Índia,8.49,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'masala', 'llimona', 'ceba', 'all', 'tomàquet', 'iogurt']","['pollastre', 'masala', 'llimona', 'ceba', 'all', 'tomàquet', 'iogurt']"
Pollastre amb mel i all,informal,tebi,mitjana,mitjana,segon,aus,Internacional,7.56,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'oli', 'mel', 'all']","['pollastre', 'oli', 'mel', 'all']"
Pollastre amb mel i curri,informal,tebi,alta,gran,segon,aus,Índia,11.38,['totes'],['estiu'],"['mel', 'curri', 'oli', 'sal', 'herbes', 'pollastre', 'fruits secs', 'ceba', 'tomàquet', 'verdures', 'arròs']","['mel', 'curri', 'oli', 'sal', 'herbes', 'pollastre', 'fruits secs', 'ceba', 'tomàquet', 'verdures', 'arròs']"
Pollastre amb paprika,informal,tebi,alta,gran,segon,aus,Hongria,15.37,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ceba', 'paprika', 'oli', 'nata', 'sal', 'julivert', 'pebre', 'pebrot', 'pastanaga']","['pollastre', 'ceba', 'paprika', 'oli', 'nata', 'sal', 'julivert', 'pebre', 'pebrot', 'pastanaga']"
Pollastre amb patates fregides,informal,tebi,alta,gran,segon,aus,Internacional,9.95,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'oli', 'pollastre', 'sal', 'comí']","['patata', 'oli', 'pollastre', 'sal', 'comí']"
Pollastre amb salsa barbacoa d'auró,informal,tebi,mitjana,mitjana,segon,aus,Canadà,8.36,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'espècies', 'salsa', 'sirope', 'maple']","['pollastre', 'espècies', 'salsa', 'sirope', 'maple']"
Pollastre amb salsa de coco nigerià,informal,tebi,alta,mitjana,segon,aus,Nigèria,10.82,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'sal', 'pebre', 'curry', 'ceba', 'gingebre', 'farigola', 'nou moscada', 'cub de brou', 'all', 'pastanaga', 'pèsols', 'llet de coco']","['pollastre', 'sal', 'pebre', 'curry', 'ceba', 'gingebre', 'farigola', 'nou moscada', 'cub de brou', 'all', 'pastanaga', 'pèsols', 'llet de coco']"
Pollastre amb soja,informal,calent,mitjana,mitjana,segon,aus,Xina,7.64,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ceba tendra', 'oli', 'salsa de soja', 'vi', 'gingebre', 'aigua']","['pollastre', 'ceba tendra', 'oli', 'salsa de soja', 'vi', 'gingebre', 'aigua']"
Pollastre amb taronja espinacs i tomàquets cherry,formal,tebi,mitjana,mitjana,segon,aus,Mediterrània,9.83,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['anet', 'taronja', 'all', 'sal', 'tomàquets cherry', ""oli d'oliva"", 'pollastre', 'espinacs']","['anet', 'taronja', 'all', 'sal', 'tomàquets cherry', ""oli d'oliva"", 'pollastre', 'espinacs']"
Pollastre arrebossat cruixent,informal,calent,mitjana,gran,segon,aus,Internacional,11.31,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'pa ratllat', 'formatge', 'mantega']","['pollastre', 'pa ratllat', 'formatge', 'mantega']"
Pollastre asiàtic dolç i picant,informal,tebi,alta,mitjana,segon,aus,Xina,9.39,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ou', 'espècies', 'midó', 'oli', 'pebre vermell', 'soia', 'vinagre', 'mel', 'suc de taronja', 'sucre']","['pollastre', 'ou', 'espècies', 'midó', 'oli', 'pebre vermell', 'soia', 'vinagre', 'mel', 'suc de taronja', 'sucre']"
Pollastre barbacoa Carolina del Nord,informal,tebi,alta,gran,segon,aus,Estats Units,11.04,['totes'],"['hivern', 'tardor']","['pollastre', 'espècies barbacoa', 'vinagre', 'mel', 'salsa worcestershire', 'fusta fumada']","['pollastre', 'espècies barbacoa', 'vinagre', 'mel', 'salsa worcestershire', 'fusta fumada']"
Pollastre cruixent,informal,calent,alta,mitjana,segon,aus,Internacional,8.91,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'amaniment italià', 'pa ratllat']","['pollastre', 'amaniment italià', 'pa ratllat']"
Pollastre cruixent cantonès,formal,tebi,alta,gran,segon,aus,Xina,14.8,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['sal', 'pebre de Sichuan', 'espècies xineses', 'pollastre', 'salsa de soja', 'vinagre', 'sucre', 'oli', 'galeta de gambes']","['sal', 'pebre de Sichuan', 'espècies xineses', 'pollastre', 'salsa de soja', 'vinagre', 'sucre', 'oli', 'galeta de gambes']"
Pollastre cruixent italià,informal,calent,alta,gran,segon,aus,Itàlia,11.65,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'pa ratllat', 'herbes', 'farina', 'oli', 'ou', 'sal', 'pebre']","['pollastre', 'pa ratllat', 'herbes', 'farina', 'oli', 'ou', 'sal', 'pebre']"
Pollastre del general Tso,formal,tebi,alta,mitjana,segon,aus,Xina,11.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ou', 'soja', 'espècies', 'farina', 'sal', 'pebre', 'gingebre', 'all', 'pebre vermell', 'oli', 'vinagre', 'sucre', 'brou']","['pollastre', 'ou', 'soja', 'espècies', 'farina', 'sal', 'pebre', 'gingebre', 'all', 'pebre vermell', 'oli', 'vinagre', 'sucre', 'brou']"
Pollastre fregit amb chipotle,informal,fred,alta,mitjana,segon,aus,Mèxic,10.58,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'adobo', 'llimona', 'midó', 'greix', 'chipotle', 'cayena', 'all', 'paprika', 'sal', 'pebre']","['pollastre', 'adobo', 'llimona', 'midó', 'greix', 'chipotle', 'cayena', 'all', 'paprika', 'sal', 'pebre']"
Pollastre fregit amb llet agre i salsa,informal,tebi,alta,gran,segon,aus,Estats Units,12.21,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'llet agra', 'mostassa', 'cayenna', 'pebre negre', 'canyella', 'oregà', 'julivert', 'paprika', 'farina', 'oli', 'ceba', 'all', 'brou', 'sal', 'pebre']","['pollastre', 'llet agra', 'mostassa', 'cayenna', 'pebre negre', 'canyella', 'oregà', 'julivert', 'paprika', 'farina', 'oli', 'ceba', 'all', 'brou', 'sal', 'pebre']"
Pollastre fregit amb llimona àcida,informal,tebi,alta,mitjana,segon,aus,Amèrica Llatina,9.61,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['paprika', 'sal', 'pebre', 'all', 'gingebre', 'carn de pollastre', 'llimona', 'midó', 'grassa']","['paprika', 'sal', 'pebre', 'all', 'gingebre', 'carn de pollastre', 'llimona', 'midó', 'grassa']"
Pollastre fregit amb mantega dolça,informal,tebi,alta,gran,segon,aus,Indonèsia,14.91,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'sucre', 'sal', 'oli', 'all', 'ceba', 'mantega', 'soja', 'vi']","['pollastre', 'sucre', 'sal', 'oli', 'all', 'ceba', 'mantega', 'soja', 'vi']"
Pollastre fregit camperol,informal,tebi,alta,gran,segon,aus,Estats Units,12.12,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'pollastre', 'paprika', 'sal', 'pebre', 'farina', 'oli', 'brou', 'nata', 'mantega']","['llet', 'pollastre', 'paprika', 'sal', 'pebre', 'farina', 'oli', 'brou', 'nata', 'mantega']"
Pollastre fregit indi,informal,tebi,alta,mitjana,segon,aus,Indonèsia,10.03,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['cúrcuma', 'gingebre', 'galanga', 'all', 'coco', 'pollastre', 'sal', 'pebre', 'oli']","['cúrcuma', 'gingebre', 'galanga', 'all', 'coco', 'pollastre', 'sal', 'pebre', 'oli']"
Pollastre fumat amb all,informal,tebi,mitjana,mitjana,segon,aus,Estats Units,8.77,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'paprika', 'xili', 'pebre de llimona', 'pebre negre', 'all en pols', 'sal', 'fusta mesquite', 'mostassa']","['pollastre', 'paprika', 'xili', 'pebre de llimona', 'pebre negre', 'all en pols', 'sal', 'fusta mesquite', 'mostassa']"
Pollastre Madras,informal,tebi,alta,mitjana,segon,aus,Índia,12.82,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ceba', 'claus', 'cardamom', 'llimona', 'chili', 'coriandre', 'espècies', 'julivert']","['pollastre', 'ceba', 'claus', 'cardamom', 'llimona', 'chili', 'coriandre', 'espècies', 'julivert']"
Pollastre marinat italià,informal,tebi,mitjana,mitjana,segon,aus,Itàlia,9.54,['totes'],['estiu'],"['brou', 'tomàquet', 'formatge', 'herbes', 'all', 'pollastre']","['brou', 'tomàquet', 'formatge', 'herbes', 'all', 'pollastre']"
Pollastre rostit,informal,tebi,mitjana,mitjana,segon,aus,Internacional,13.73,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'llimona', 'oli', 'sal', 'pebre']","['pollastre', 'llimona', 'oli', 'sal', 'pebre']"
Pollastre rostit camperol,informal,tebi,alta,gran,segon,aus,Europa,10.95,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'espècies', 'romaní', 'farigola', 'llimona', 'mantega']","['pollastre', 'espècies', 'romaní', 'farigola', 'llimona', 'mantega']"
Pollastre rostit sobre llit de sal,informal,calent,mitjana,mitjana,segon,aus,Internacional,14.6,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'llimona', 'all', 'herbes', 'sal']","['pollastre', 'llimona', 'all', 'herbes', 'sal']"
Pollastre tailandès al grill,informal,tebi,alta,mitjana,segon,aus,Tailàndia,8.85,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['xili', 'soja', 'salsa de peix', 'pasta de xili', 'all', 'gingebre', 'vinagre', 'pollastre']","['xili', 'soja', 'salsa de peix', 'pasta de xili', 'all', 'gingebre', 'vinagre', 'pollastre']"
Pollastre verd mediterrani,informal,tebi,mitjana,mitjana,segon,aus,Mediterrània,12.68,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['julivert', 'chalota', 'all', 'oli', 'mostassa', 'herbes', 'llimona', 'pollastre']","['julivert', 'chalota', 'all', 'oli', 'mostassa', 'herbes', 'llimona', 'pollastre']"
Pollastre Yassa del Senegal,formal,tebi,alta,mitjana,segon,aus,Senegal,11.16,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ceba', 'all', 'mostassa', 'brou', 'llimona', 'paprika', 'cayena', 'bouillon', 'sal', 'oli']","['pollastre', 'ceba', 'all', 'mostassa', 'brou', 'llimona', 'paprika', 'cayena', 'bouillon', 'sal', 'oli']"
Pollo a la parmesana,formal,tebi,mitjana,mitjana,segon,aus,Itàlia,11.64,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'formatge', 'oli', 'sal']","['pollastre', 'formatge', 'oli', 'sal']"
Pongal especiat,informal,tebi,alta,mitjana,segon,vegetal_proteic,Índia,6.79,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'dal', 'aigua', 'cúrcuma', 'anacards', 'cúrrec', 'pebre', 'comí', 'xili', 'oli', 'ghee', 'mustassa', 'sal']","['arròs', 'dal', 'aigua', 'cúrcuma', 'anacards', 'cúrrec', 'pebre', 'comí', 'xili', 'oli', 'ghee', 'mustassa', 'sal']"
Porc agredolç xinès,informal,fred,alta,mitjana,segon,carn,Xina,11.38,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'vi de xina', 'soia', 'midó', 'ketchup', 'vinagre', 'worcestershire', 'pebre', 'sucre', 'ou', 'oli', 'all', 'gingebre', 'cilantro']","['porc', 'vi de xina', 'soia', 'midó', 'ketchup', 'vinagre', 'worcestershire', 'pebre', 'sucre', 'ou', 'oli', 'all', 'gingebre', 'cilantro']"
Porc al vapor amb fulles de mostassa,informal,tebi,mitjana,mitjana,segon,carn,Xina,10.48,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mostassa', 'farina', 'sucre', 'soia', 'vi ranci', 'porc', 'oli', 'salsa', 'pebre']","['mostassa', 'farina', 'sucre', 'soia', 'vi ranci', 'porc', 'oli', 'salsa', 'pebre']"
Porc amb all i ceba indonesi,informal,fred,alta,mitjana,segon,carn,Indonèsia,15.52,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'ceba', 'all', 'salsa de soja', 'gingebre', 'pebre']","['porc', 'ceba', 'all', 'salsa de soja', 'gingebre', 'pebre']"
Porc amb pastanagues en salsa,informal,tebi,alta,gran,segon,guisat,Europa,12.64,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'sal', 'sucre', 'sàlvia', 'fulles de llorer', ""pell d'aranja seca"", 'pastanaga', 'oli', 'greix', 'farina', 'ceba']","['porc', 'sal', 'sucre', 'sàlvia', 'fulles de llorer', ""pell d'aranja seca"", 'pastanaga', 'oli', 'greix', 'farina', 'ceba']"
Porc farcit amb verdures,formal,tebi,alta,gran,segon,carn,Alemanya,16.23,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['tripa', 'porc', 'pa', 'patata', 'pastanaga', 'ou', 'ceba', 'espècies', 'sal', 'pebre', 'farigola', 'nou moscada']","['tripa', 'porc', 'pa', 'patata', 'pastanaga', 'ou', 'ceba', 'espècies', 'sal', 'pebre', 'farigola', 'nou moscada']"
Porc glaçat amb mel i poma,formal,calent,alta,gran,segon,carn,Estats Units,16.37,['totes'],"['hivern', 'tardor']","['pebre', 'farina', 'mostassa', 'sal', 'porc', 'compota de poma', 'canyella', 'mel', 'nou moscada']","['pebre', 'farina', 'mostassa', 'sal', 'porc', 'compota de poma', 'canyella', 'mel', 'nou moscada']"
Porc rostit a la barbacoa de Carolina del Nord,informal,calent,alta,gran,segon,forn_brasa,Estats Units,9.8,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'sal', 'carbó', 'salsa barbacoa']","['porc', 'sal', 'carbó', 'salsa barbacoa']"
Porc rostit amb glaça de poma i cayena,formal,calent,mitjana,gran,segon,carn,Estats Units,16.3,['totes'],"['hivern', 'tardor']","['porc', 'mostassa', 'sidra', 'vinagre', 'sucre morè', 'salsa worcestershire', 'pebre vermell', 'sal', 'pebre', 'paprika']","['porc', 'mostassa', 'sidra', 'vinagre', 'sucre morè', 'salsa worcestershire', 'pebre vermell', 'sal', 'pebre', 'paprika']"
Porridge de blat de moro ruandès,informal,tebi,baixa,mitjana,segon,farinaci_principal,Ruanda,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de blat de moro', 'aigua', 'sal']","['farina de blat de moro', 'aigua', 'sal']"
Porridge de cacauet i plàtan,informal,fred,baixa,mitjana,segon,vegetal_proteic,Internacional,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['civada', 'llet', 'plàtan', 'mantega de cacauet', 'mel']","['civada', 'llet', 'plàtan', 'mantega de cacauet', 'mel']"
Porridge fermentat de mill malawià,informal,tebi,mitjana,mitjana,segon,farinaci_principal,Malawi,7.08,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de mill', 'aigua', 'sal', 'oli']","['farina de mill', 'aigua', 'sal', 'oli']"
Purè holandès de verdures (Hutspot),informal,fred,baixa,gran,segon,vegetal_proteic,Països Baixos,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'pastanaga', 'ceba', 'pernil', 'formatge', 'sal', 'pebre']","['patata', 'pastanaga', 'ceba', 'pernil', 'formatge', 'sal', 'pebre']"
Puré de carbassa,informal,calent,baixa,mitjana,segon,vegetal_proteic,Internacional,6.5,['totes'],['tardor'],"['carbassa', 'mantega']","['carbassa', 'mantega']"
Puré de civada Quaker,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Estats Units,6.51,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['aigua', 'civada']","['aigua', 'civada']"
Puré de moniato,informal,tebi,mitjana,mitjana,segon,vegetal_proteic,Internacional,7.36,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['moniato', 'sucre morè', 'llimona', 'mantega']","['moniato', 'sucre morè', 'llimona', 'mantega']"
Puré de patates,informal,calent,mitjana,mitjana,segon,vegetal_proteic,Internacional,6.56,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'mantega', 'llet']","['patata', 'mantega', 'llet']"
Puré de patates amb vedella especiada,informal,tebi,alta,mitjana,segon,carn,Internacional,12.28,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'gingebre', 'brou', 'herbes', 'pebre negre', 'oli', 'ceba', 'xampinyó', 'pebrot', 'patata', 'sal', 'llet', 'mantega', 'formatge fresc']","['carn', 'gingebre', 'brou', 'herbes', 'pebre negre', 'oli', 'ceba', 'xampinyó', 'pebrot', 'patata', 'sal', 'llet', 'mantega', 'formatge fresc']"
Quesadilla de pollastre,informal,calent,alta,mitjana,segon,aus,Mèxic,11.87,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['oli de sèsam', 'all', 'pebre vermell picant', 'ceba', 'pebrot vermell', 'pebrot verd', 'llavors de sèsam', 'salsa teriyaki', 'pollastre', 'cilantre', 'sal', 'pebre', 'tortilla', 'formatge', 'mantega']","['oli de sèsam', 'all', 'pebre vermell picant', 'ceba', 'pebrot vermell', 'pebrot verd', 'llavors de sèsam', 'salsa teriyaki', 'pollastre', 'cilantre', 'sal', 'pebre', 'tortilla', 'formatge', 'mantega']"
Quesadilla mexicana,informal,tebi,mitjana,mitjana,segon,farinaci_principal,Mèxic,8.21,['totes'],['estiu'],"['tortilla', 'formatge', 'salsa', 'enciams', 'tomàquet', 'xili', 'carn o marisc', 'mongetes']","['tortilla', 'formatge', 'salsa', 'enciams', 'tomàquet', 'xili', 'carn o marisc', 'mongetes']"
Quesadilles de cranc amb salsa de mango,formal,tebi,alta,mitjana,segon,marisc,Mèxic,15.79,['totes'],['estiu'],"['mango', 'tomàquet', 'pebrot', 'llimona', 'cilantre', 'cranc', 'pebrot verd', 'pebrot vermell', 'oli', 'formatge', 'espècies']","['mango', 'tomàquet', 'pebrot', 'llimona', 'cilantre', 'cranc', 'pebrot verd', 'pebrot vermell', 'oli', 'formatge', 'espècies']"
Ragú de cérvol,formal,tebi,mitjana,mitjana,segon,guisat,Itàlia,14.56,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['ceba', 'xampinyó', 'all', 'oli', 'cérvol', 'vi', 'tomàquet', 'pastanaga', 'llorer', 'herbes', 'sal', 'pebre', 'pasta', 'parmesà']","['ceba', 'xampinyó', 'all', 'oli', 'cérvol', 'vi', 'tomàquet', 'pastanaga', 'llorer', 'herbes', 'sal', 'pebre', 'pasta', 'parmesà']"
Ratatouille,informal,tebi,alta,mitjana,segon,vegetal_proteic,França,10.75,['totes'],['estiu'],"['oli', 'ceba', 'all', 'albergínia', 'pebrot', 'carbassó', 'tomàquet', 'sal', 'pebre', 'herbes provençals']","['oli', 'ceba', 'all', 'albergínia', 'pebrot', 'carbassó', 'tomàquet', 'sal', 'pebre', 'herbes provençals']"
Ravioli fregit,formal,calent,alta,petita,segon,farinaci_principal,Xina,9.42,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['pollastre o porc', 'peix', ""castanyes d'aigua"", 'salsa de soja', 'oli', 'pebre', 'cibulet', 'gingebre', 'coriandre', 'envolcall', 'midó']","['pollastre o porc', 'peix', ""castanyes d'aigua"", 'salsa de soja', 'oli', 'pebre', 'cibulet', 'gingebre', 'coriandre', 'envolcall', 'midó']"
Raviolis a la planxa,formal,calent,mitjana,mitjana,segon,farinaci_principal,Itàlia,18.54,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'ou', 'pa ratllat', 'sal', 'raviolis', 'oli', 'formatge parmesà', 'salsa de tomàquet']","['llet', 'ou', 'pa ratllat', 'sal', 'raviolis', 'oli', 'formatge parmesà', 'salsa de tomàquet']"
Raviolis casolans,formal,calent,mitjana,mitjana,segon,farinaci_principal,Itàlia,12.4,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['massa', 'farcit']","['massa', 'farcit']"
Rigatoni amb pollastre,informal,calent,mitjana,mitjana,segon,aus,Estats Units,11.91,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['margarina', 'ceba', 'all', 'pebrot', 'pebrot picant', 'formatge parmesà', 'pollastre', 'brou de pollastre', 'tomàquet', 'nata', 'olives', 'pasta']","['margarina', 'ceba', 'all', 'pebrot', 'pebrot picant', 'formatge parmesà', 'pollastre', 'brou de pollastre', 'tomàquet', 'nata', 'olives', 'pasta']"
Rigatoni amb ricotta i crema de tomàquet,formal,tebi,mitjana,mitjana,segon,farinaci_principal,Itàlia,13.7,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['pasta', 'oli', 'mantega', 'ceba', 'all', 'tomàquet', 'salsa de tomàquet', 'basilic', 'orenga', 'sal', 'pebre', 'ricotta', 'nata', 'sucre', 'julivert', 'formatge']","['pasta', 'oli', 'mantega', 'ceba', 'all', 'tomàquet', 'salsa de tomàquet', 'basilic', 'orenga', 'sal', 'pebre', 'ricotta', 'nata', 'sucre', 'julivert', 'formatge']"
Risotto a la milanesa,formal,tebi,alta,gran,segon,farinaci_principal,Itàlia,16.1,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['safrà', 'brou', 'mantega', 'ceba', 'vi', 'sal', 'pebre', 'formatge', 'julivert', 'tomàquet']","['safrà', 'brou', 'mantega', 'ceba', 'vi', 'sal', 'pebre', 'formatge', 'julivert', 'tomàquet']"
Risotto amb bolets,formal,tebi,alta,gran,segon,farinaci_principal,Itàlia,14.78,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'mantega', 'ceba', 'all', 'brou', 'bolets', 'vi', 'formatge', 'julivert']","['arròs', 'mantega', 'ceba', 'all', 'brou', 'bolets', 'vi', 'formatge', 'julivert']"
Risotto bàsic,informal,tebi,mitjana,mitjana,segon,farinaci_principal,Itàlia,9.11,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'ceba', 'vi', 'mantega', 'brou']","['arròs', 'ceba', 'vi', 'mantega', 'brou']"
Risotto de carbassa,formal,tebi,alta,gran,segon,farinaci_principal,Itàlia,14.2,['totes'],['tardor'],"['carbassa', 'sal', 'pebre', 'marjoram', 'all', 'oli', 'brou', 'mantega', 'ceba', 'arròs', 'vi', 'formatge parmesà']","['carbassa', 'sal', 'pebre', 'marjoram', 'all', 'oli', 'brou', 'mantega', 'ceba', 'arròs', 'vi', 'formatge parmesà']"
Risotto de formatge amb cervesa,formal,tebi,alta,mitjana,segon,farinaci_principal,Europa Central,12.66,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'arròs', 'brou', 'cerveza', 'formatge']","['oli', 'ceba', 'arròs', 'brou', 'cerveza', 'formatge']"
Risotto de marisc,formal,tebi,alta,mitjana,segon,marisc,Itàlia,16.1,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['calamar', 'gamba', 'vieira', 'oli', 'vinagre balsàmic', 'orenga', 'sal', 'pebre', 'brou de peix', 'arròs per risotto', 'ceba', 'all', 'julivert', 'mantega']","['calamar', 'gamba', 'vieira', 'oli', 'vinagre balsàmic', 'orenga', 'sal', 'pebre', 'brou de peix', 'arròs per risotto', 'ceba', 'all', 'julivert', 'mantega']"
Risotto toscà de bolets,formal,tebi,mitjana,mitjana,segon,farinaci_principal,Itàlia,10.22,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'all', 'ceba tendra', 'bolets', 'arròs per risotto', 'vi blanc', 'brou', 'nata', 'formatge', 'sal', 'pebre', 'julivert']","['mantega', 'all', 'ceba tendra', 'bolets', 'arròs per risotto', 'vi blanc', 'brou', 'nata', 'formatge', 'sal', 'pebre', 'julivert']"
Rodó de vedella rostida amb suc,formal,tebi,alta,gran,segon,carn,França,21.27,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'vi', 'farigola', 'romer', 'sal', 'pebre', 'farina', 'oli']","['vedella', 'vi', 'farigola', 'romer', 'sal', 'pebre', 'farina', 'oli']"
Ropa vieja caribenya,informal,tebi,mitjana,mitjana,segon,carn,Carib,17.1,['totes'],['estiu'],"['vedella', 'oli', 'ceba', 'all', 'pebrot', 'tomàquet', 'sal', 'llorer', 'vi o cervesa']","['vedella', 'oli', 'ceba', 'all', 'pebrot', 'tomàquet', 'sal', 'llorer', 'vi o cervesa']"
Ropa vieja panamenya,informal,calent,alta,gran,segon,carn,Panamà,19.93,['totes'],['estiu'],"['carn', 'sal', 'espècies', 'all', 'comí', 'pebre', 'tomàquet', 'brou', 'vi', 'ceba', 'pebrot', 'pastanaga', 'clau', 'olives', 'llorer', 'coriandre']","['carn', 'sal', 'espècies', 'all', 'comí', 'pebre', 'tomàquet', 'brou', 'vi', 'ceba', 'pebrot', 'pastanaga', 'clau', 'olives', 'llorer', 'coriandre']"
Rostes de salmó amb romaní,informal,calent,mitjana,mitjana,segon,peix,Mediterrània,17.17,['totes'],"['hivern', 'tardor']","['salmó', 'oli', 'vinagre', 'romaní', 'pebre']","['salmó', 'oli', 'vinagre', 'romaní', 'pebre']"
